序號,更新日期,類別,問題,解答
11,1121002,營業稅的課稅範圍,個人參加多層次傳銷事業，應否課稅？,個人參加多層次傳銷事業，因直接向該事業進貨或購進商品累積積分額（或金額）達一定標準，而自該事業取得之業績獎金或各種補助費，核屬營業稅法施行細則第23條規定之獎勵金，該多層次傳銷事業應取得個人參加人出具之「銷貨退回、進貨退出或折讓證明單」按銷貨折讓處理。該多層次傳銷事業並應依規定，辦理個人參加人其他所得免扣繳憑單申報，惟該項支付之獎勵金於申報營利事業所得稅時，不得再重複列報支出。      （財政部92.9.18台財稅字第0920453777號令）
12,1121002,營業稅的課稅範圍,醫院出租財產取得之租金收入，應否課徵營業稅？, 醫院出租財產取得租金收入，應依法課徵營業稅，免由承租人依所得稅法第88條規定按給付之租金扣繳所得稅款。（財政部88.9.23台財稅第881945819號函）
13,1121002,營業稅的課稅範圍,個人從事出租建物行為，收取租金，應否課徵營業稅？,個人出租自有建物或承租他人建物再出租予第三人，有下列情形之一者，自 98年1月1日起，應辦理稅籍登記，課徵營業稅：一、設有固定營業場所（含設置有形之營業場所或設置網站）。二、具備「營業牌號」（不論是否已依法辦理登記）。 三、僱用人員協助處理房屋出租事宜。未符合上述情形者，應依所得稅法第14條規定，按租賃所得課徵個人綜合所得稅。（財政部97.11.05台財稅字第09704555660號令）
14,1121002,營業稅的課稅範圍,營業人以設備作價抵繳認購他公司增資發行新股股款，是否屬銷售貨物行為？,營業人以設備作價抵繳認購他公司增資發行新股股款，核屬銷售貨物行為，應依加值型及非加值型營業稅法第32條第1項前段及同法施行細則第18條規定，以換出設備或取得新股之時價，從高認定銷售額，開立統一發票交付被投資公司。（財政部98.1.23台財稅字第09804510720號令）
15,1121002,營業稅的課稅範圍,科學園區管理局所收取的管理費要課營業稅嗎？,科技部科學工業園區管理局依科學園區設置管理條例第29條第1項規定，向園區內設立之園區事業、金融機構及其他機構收取之管理費，核非銷售貨物或勞務之收入，非屬營業稅課稅範圍。（財政部104.7.24台財稅字第10404567420號令）
16,1121002,營業稅的課稅範圍,證券商接受投資人委託買賣外國有價證券如何課徵營業稅？,國內證券商接受投資人委託買賣外國有價證券，其所收取之手續費收入，如國內證券商與委託人間訂有代收轉付合約者，可按扣除轉付國外手續費後之差額，報繳 2％營業稅。至前開國內證券商代收轉付國外之手續費，其委託人如屬國內投資人者，該委託人應依加值型及非加值型營業稅法第36條規定報繳營業稅，惟前開國內證券商得代為報繳之。   （財政部98.5.22台財稅字第09804529880號令）            
17,1121002,營業稅的課稅範圍,營業人為進用員工對外舉辦考試，所收取與考試相關之報名費、考試費等收入，要課營業稅嗎？,營業人為進用員工對外舉辦考試，所收取與考試相關之報名費、考試費等收入，非屬營業稅課稅範圍。（財政部98.5.22台財稅字第09800087850號令）      
18,1121002,營業稅的課稅範圍,大眾運輸事業領受政府補貼偏遠路線營運虧損及油價價差之收入要課營業稅嗎？,自98年6月12日起，大眾運輸事業領受政府補貼偏遠路線營運虧損及油價價差之收入，核非屬營業稅課稅範圍。（財政部98.9.18台財稅字第09804076320號令）
19,1121002,營業稅的減免範圍,什麼叫做零稅率？免稅？進口免稅？ ,一、零 稅 率：銷售貨物或勞務所適用的營業稅率為零，由於銷項稅額為零，如有溢付稅額，得在退稅限額內由主管稽徵機關查明後退還。 二、免    稅：銷售貨物或勞務在銷售階段時免徵營業稅，但進項稅額不能扣抵或退還。三、進口免稅：屬加值型及非加值型營業稅第九條規定進口貨物於進口時免徵營業稅。
20,1121002,營業稅的減免範圍,適用「零稅率」的貨物或勞務有那些？,一、外銷貨物。二、與外銷有關之勞務，或在國內提供而在國外使用之勞務。三、依法設立之免稅商店銷售與過境或出境旅客之貨物。四、銷售與保稅區營業人供營運之貨物或勞務。五、國際間之運輸。但外國運輸事業在中華民國境內經營國際運輸業務者，應以各該國對中華民國國際運輸事業予以相等待遇或免徵類似稅捐者為限。 六、國際運輸用之船舶、航空器及遠洋漁船。七、銷售與國際運輸用之船舶、航空器及遠洋漁船所使用之貨物或修繕勞務。八、保稅區營業人銷售與課稅區營業人未輸往課稅區而直接出口之貨物。九、保稅區營業人銷售與課稅區營業人存入自由港區事業或海關管理之保稅倉庫、物流中心以供外銷之貨物。（加值型及非加值型營業稅法第7條）
21,1121002,營業稅的減免範圍,那些貨物或勞務可以免徵營業稅？  ,一、出售之土地。    二、供應之農田灌溉用水。   三、醫院、診所、療養院提供之醫療勞務、藥品、病房之住宿及膳食。 四、依法經主管機關許可設立之社會福利團體、機構及勞工團體，提供之社會福利勞務及政府委託代辦之社會福利勞務。  五、 學校、幼稚園與其他教育文化機構提供之教育勞務及政府委託代辦之文化勞務。 六、出版業發行經主管教育行政機關審定之各級學校所用教科書及經政府依法獎勵之重要學術專門著作。 七、(刪除)。 八、職業學校不對外營業之實習商店銷售之貨物或勞務。九、 依法登記之報社、雜誌社、通訊社、電視臺與廣播電臺銷售其本事業之報紙、出版品、通訊稿、廣告、節目播映及節目播出。 但報社銷售之廣告及電視臺之廣告播映不包括在內。十、合作社依法經營銷售與社員之貨物或勞務及政府委託其代辦之業務。十一、農會、漁會、工會、商業會、工業會依法經營銷售與會員之貨物或勞務及 政府委託其代辦之業務，或依農產品市場交易法設立且農會、漁會、合作社、政府之投資比例合計占70﹪以上之農產品批發市場，依同法第27條規定收取之管理費。十二、 依法組織之慈善救濟事業標售或義賣之貨物與舉辦之義演，其收入除支付標售、義賣及義演之必要費用外，全部供作該事業本身之用者。十三、 政府機關、公營事業及社會團體，依有關法令組設經營不對外營業之員工福利機構，銷售之貨物或勞務。十四、監獄工廠及其作業成品售賣所銷售之貨物或勞務。十五、郵政、電信機關依法經營之業務及政府核定之代辦業務。十六、政府專賣事業銷售之專賣品及經許可銷售專賣品之營業人，依照規定價格銷售之專賣品。 十七、代銷印花稅票或郵票之勞務。 十八、肩挑負販沿街叫賣者銷售之貨物或勞務。十九、 飼料及未經加工之生鮮農、林、漁、牧產物、副產物；農、漁民銷售其收穫、捕獲之農、林、漁、牧產物、副產物。   二十、漁民銷售其捕獲之魚介。二十一、稻米、麵粉之銷售及碾米加工。二十二、依營業稅法規定按特種稅額計算之營業人，銷售其非經常買進、賣出而持有之固定資產。二十三、保險業承辦政府推行之軍公教人員與其眷屬保險、勞工保險、學生保險、農、漁民保險、輸出保險及強制汽車第3人責任保險，以及其自保費收入中扣除之再保分出保費及人壽保險提存之責任準備金、年金保險提存之責任準備金及健康保險提存之責任準備金。但人壽保險、年金保險、健康保險退保收益及退保收回之責任準備金，不包括在內。二十四、各級政府發行之債券及依法應課徵證券交易稅之證券。二十五、各級政府機關標售賸餘或廢棄之物資。二十六、銷售與國防單位使用之武器、艦艇、飛機、戰車及與作戰有關之偵察、通訊器材。二十七、肥料、農業、畜牧用藥、農耕用之機器設備、農地搬運車及其所用油、電。二十八、供沿岸、近海漁業使用之漁船、供漁船使用之機器設備、漁網及其用油。二十九、銀行業總、分行往來之利息、信託投資業運用委託人指定用途而盈虧歸委託人負擔之信託資金收入及典當業銷售不超過應收本息之流當品。三十、金條、金塊、金片、金幣及純金之金飾或飾金。但加工費不在此限。三十一、經主管機關核准設立之學術、科技研究機構提供之研究勞務。三十二、經營衍生性金融商品、公司債、金融債券、新臺幣拆款及外幣拆款之銷售額。但佣金及手續費不包括在內。（加值型及非加值型營業稅法第8條第1項）                 
22,1121002,營業稅的減免範圍,我是銷售依規定免稅貨物的營業人，可否放棄適用免稅而改為課稅？,可以，請向所在地國稅局分局、稽徵所申請，報經財政部核准放棄適用免稅規定，改以營業稅法規定之一般稅額計算方式計算營業稅額，但核准後3年內不得變更。（加值型及非加值型營業稅法第8條第2項）
23,1121002,營業稅的減免範圍,進口那些貨物可以免徵營業稅？,一、進口以下貨物免徵營業稅：(1)國際運輸用之船舶、航空器、遠洋漁船、肥料及金條、金塊、 金片、金幣、純金之金飾或飾金。(2)關稅法第49條規定之貨物。但因轉讓或變更用途依照同法第55 條規定補繳關稅者，應補繳營業稅。(3)本國之古物。二、另為因應經濟特殊情況，調節物資供應，對進口小麥、大麥、玉米或黃豆應徵之營業稅，得由行政院機動調整。    （加值型及非加值型營業稅法第9條及第9條之1）
24,1121002,營業稅的減免範圍,營業人購進自用乘人小汽車出售時可否免徵營業稅？,營業人所購買之自用乘人小汽車，日後出售時，應開立統一發票報繳營業稅。（財政部80.1.7台財稅第790459873號函）
25,1121002,營業稅的減免範圍,那些人屬於執行業務者？,指律師、會計師、建築師、技師、醫師、藥師、助產師（士）、醫事檢驗師（生）、程式設計師、精算師、不動產估價師、物理治療師、職能治療師、營養師、心理師、地政士、記帳士、著作人、經紀人、代書人、表演人、引水人、節目製作人、商標代理人、專利代理人、仲裁人、記帳及報稅代理人、書畫家、版畫家、命理卜卦、工匠、公共安全檢查人員、民間公證人及其他以技藝自力營生者。（加值型及非加值型營業稅法施行細則第6條）
26,1121002,營業稅的減免範圍,適用零稅率的營業人，應該具備那些證明文件？,一、以貨物外銷者，除報經海關出口者免檢附證明文件外，委由郵政機構或依快遞貨物通關辦法規定經海關核准登記之快遞業者出口者，其離岸價格在新臺幣5萬元以下，為郵政機構或快遞業者掣發之執據影本；其離岸價格超過新臺幣5萬元，仍應報經海關出口，免附證明文件。二、與外銷有關之勞務，或在國內提供而在國外使用之勞務，取得外匯結售或存入政府指定之銀行者，為政府指定外匯銀行掣發之外匯證明文件；取得外匯未經結售或存入政府指定之銀行者，為原始外匯收入款憑證影本。三、依法設立之免稅商店銷售貨物與過境或出境旅客者，為經監管海關核准以電子媒體儲存載有過境或出境旅客護照或旅行證件號碼之售貨單。但設在國際機場、港口管制區內之免稅商店，其售貨單得免填列過境或出境旅客護照或旅行證件號碼。四、銷售貨物或勞務與保稅區營業人供營運使用者，除報經海關視同出口之貨物，免檢附證明文件外，為各該保稅區營業人簽署之統一發票扣抵聯。五、經營國際間之運輸者，為載運國外客貨收入清單。 六、銷售國際運輸用之船舶、航空器及遠洋漁船者，為銷售契約影本。七、銷售貨物或提供修繕勞務與國際運輸用之船舶、航空器及遠洋漁船者，除報經海關出口之貨物，免檢附證明文件外，為海關核發已交付使用之證明文件或修繕契約影本。八、保稅區營業人銷售貨物與課稅區營業人未輸往課稅區而直接出口者，為銷售契約影本、海關核發之課稅區營業人報關出口證明文件。九、保稅區營業人銷售貨物與課稅區營業人存入自由港區事業或海關管理之保稅倉庫、物流中心以供外銷者，為銷售契約影本、海關核發之視同出口或進口證明文件。十、其他經財政部核定之證明文件。 (加值型及非加值型營業稅法施行細則第11條)
27,1121002,營業稅的減免範圍,保稅區營業人銷貨至國內課稅區，處理手續如何？ ,依規定保稅貨物自保稅區進入中華民國境內之其他地區者為進口，故保稅區營業人銷售貨物至國內課稅區，課稅區之買受人應按進口貨物報關程序規定，填具進口報單向海關申報，並由海關依法代徵營業稅者，免由保稅區營業人開立統一發票。(加值型及非加值型營業稅法第5條第2款、第6條之1)、(財政部75.4.19台財稅第7541699號函）
28,1121002,營業稅的減免範圍,營業人出售下腳、廢料等是否應繳營業稅？,營業人出售下腳、廢料等取得代價，係屬銷售貨物，應依法報繳營業稅。
29,1121002,營業稅的減免範圍,遠洋漁船及銷售給遠洋漁船使用之貨物或修繕勞務，適用零稅率之認定標準？其證明文件為何？,一、加值型及非加值型營業稅法（以下簡稱營業稅法）第7條第6款及第7款所稱「遠洋漁船」，指經漁業主管機關依遠洋漁業條例規定，核發遠洋漁業作業許可之漁船（含漁獲物運搬船）。二、營業人銷售與前點規定遠洋漁船使用之貨物或修繕勞務，應於所開立統一發票「備註」欄載明買受人遠洋漁業作業許可證書編號、中文船名及漁船統一編號，由買受人在該發票扣抵聯（買受人為個人之收執聯影本）載明「本發票所列貨物（或修繕勞務），確係本公司（行號）或本人購買供遠洋漁船使用」字樣，並加蓋印章，以作為依營業稅法第7條第7款規定適用零稅率之證明文件。三、建造中漁船按下列規定適用零稅率：（一）本令發布日（含）後，經漁業主管機關核准建造之漁船，造船業者建造該漁船期間取得之工程款收入，准憑漁業主管機關核發載有作業海域為「公海」或「經核准之外國海域」之核准建造文件、漁船建造合約及相關證明文件，於申報工程款收入當期依營業稅法第7條第6款規定適用零稅率。造船業者所在地主管稽徵機關應予列管，漁船建造完成後如因不可歸責於造船業者之原因，致未取得漁業主管機關核發遠洋漁業作業許可者，應向造船業者補徵營業稅，但免予處罰。（二）本令發布前，經漁業主管機關核准建造達100噸之漁船，於本令發布日（含）後始建造完成者，不論該漁船是否取得漁業主管機關核發遠洋漁業作業許可，造船業者建造該漁船期間取得之工程款收入，均得依營業稅法第7條第6款規定適用零稅率。（財政部108.7.26台財稅第10800519300號令）
30,1121002,營業稅的減免範圍,公司購入零件利用自有人力製造機器自用，是否要繳營業稅？,公司購入零組件，利用自有人力製成自用機器，既非供銷售之貨物，依法可免開統一發票報繳營業稅。（財政部75.3.31台財稅第7535787號函）
31,1121002,營業稅的減免範圍,合作社經營政府委託代辦業務收入是否免稅？,合作社依法經營銷售與社員之貨物或勞務及政府委託其代辦之業務，免徵營業稅。（加值型及非加值型營業稅法第8條第1項第10款）
32,1121002,營業稅的減免範圍,甲公司介紹乙公司向國外進口原料，取得國外出口商給付之外匯佣金收入，可否適用零稅率？,營業人介紹國內營業人向國外廠商進口原料等，取得之外匯佣金收入，非屬零稅率之適用範圍。（財政部75.5.5台財稅第7545545號函）
33,1121002,營業稅的減免範圍,營業人銷售與保稅區營業人供營運之貨物或勞務，應如何提供零稅率證明文件？, 營業人銷售與保稅區營業人供營運之貨物或勞務，除報經海關視同出口之貨物，免檢附證明文件，應由該營業人（賣方）將所開立之統一發票扣抵聯交由買受人（買方）於該聯空白處或背面簽署「本發票所列貨物或勞務確係本事業（工廠、倉庫）購買符合加值型及非加值型營業稅法第7條第4款及同法施行細則第7條之1第2項規定供營運之貨物或勞務無訛」字樣，並加蓋買受人統一發票專用章，作為適用零稅率之證明文件。（財政部100.11.7.台財稅字第10004520850號令）（加值型及非加值型營業稅法第7條第4款）
34,1121002,營業稅的減免範圍,營業人接受國外客戶訂購貨物後，轉向第三國供應商訂貨並由其直接對上開國外客戶交貨者，所賺取信用狀差額，能否適用零稅率？,該經營三角貿易之營業人按收付信用狀之差額，視為佣金或手續費收入，並依照營業稅法第7條第2款規定，適用零稅率。（財政部75.7.29台財稅7555603號函）一、應按列帳方式區分： (一)該經營三角貿易之營業人，如按收付信用狀之差額視為佣金或手續費收入列帳者，得按其收付差額申報營業稅銷售額，並依照營業稅法第7條第2款規定，檢附外匯證明文件及相關交易證明文件（如：國外客戶及第三國供應商訂貨單、提貨單或出貨單...等）適用零稅率。（財政部75.7.29台財稅第7555603號、78.11.23台財稅780691662號函） (二)該經營三角貿易之營業人，如與國外客戶及供應商分別簽訂獨立買賣合約，且其貨款係按進銷貨全額匯出及匯入者，得按進銷貨科目列帳，則該筆交易因貨物起運地及交付地均不在中華民國境內，故非屬營業稅課稅範圍，無需列報營業稅銷售額。（財政部賦稅署88.8.5台稅二發第881933421號函）二、交易究屬居間或買賣得依帳載方式認定：（財政部93.9.3台財稅字第09304525270號、94.10.4台財稅字第09404551250號函） (一)經營前開三角貿易之國內營業人，如不負擔貨物之瑕疵擔保責任，核屬「居間」行為，應以收付差額認列佣金收入，並檢具證文件申報營業稅零稅率銷售額。 (二)經營前開三角貿易之國內營業人，如負擔貨物之瑕疵擔保責任，核屬「買賣」行為，應以收付全額分別認列進貨成本及銷貨收入，無需申報營業稅。(三)就前開營業人之交易究屬居間或買賣，得依其帳載認定，如以佣金收入列帳者，係屬「居間」行為，於申報營業稅時，按收付差額認列佣金收入，適用零稅率；如以進、銷貨列帳者，係屬「買賣」行為，則該筆交易非屬營業稅課稅範圍，無需列報營業稅銷售額。
35,1121002,營業稅的減免範圍,營業人銷售（提供）適用零稅率之貨物或勞務，逾規定時限開立統一發票，是否仍可適用零稅率？,營業人銷售（提供）適用零稅率之貨物或勞務，除外銷貨物、與外銷有關之勞務或在國內提供而在國外使用之勞務及保稅區營業人銷售與課稅區營業人未輸往課稅區而直接出口之貨物，得免開立統一發票者外，逾規定時限開立統一發票，如具備營業稅法施行細則第11條規定之證明文件，檢同「營業人申報適用零稅率銷售額清單者」，仍准予依法適用零稅率。又逾期開立統一發票而不涉及漏稅，於檢舉或查獲日前已自動補開並補報者，免依稅捐稽徵法第44條規定處罰。（稅務違章案件減免處罰標準第2條第3款）
36,1121002,營業稅的減免範圍,辦理三角貿易之佣金手續費收入適用零稅率之證明文件為何？,營業人接受國外客戶訂購貨物後，向第三國供應商進口貨物，辦理轉運與國外客戶之三角貿易，該營業人得按收付信用狀之差額，視為佣金或手續費收入列帳並適用零稅率；至證明文件部分，營業人可檢附進、出口結匯證實書及國內外信用狀影本，申報主管稽徵機關核定適用零稅率。（財政部77.8.18台財稅第770572584號函）
37,1121002,營業稅的減免範圍,學校辦理產學合作取得之收入，可否免徵營業稅？,一、專科以上學校（下稱學校）係教育部依大學法及專科學校法核定設立之教育及學術研究機構，其辦理產學合作（指依「專科以上學校產學合作實施辦法」規定辦理合作事項，或依「政府科學技術研究發展成果歸屬及運用辦法」規定執行科學技術研究發展計畫，下同）取得收入之營業稅課徵，應按「專科以上學校辦理產學合作收取之各項收入依加值型及非加值型營業稅法第8條規定徵免營業稅規定」辦理。二、學校辦理產學合作取得之收入，依前點規定應課徵營業稅者，以簽約日於109年7月1日（含）以後之案件適用。三、本令發布日前，學校辦理產學合作取得之收入，已依財政部108年1月8日台財稅字第10700704180號令規定報繳營業稅，尚未核課確定案件，得適用本令規定，其有溢繳稅款者，准予退還。（財政部109.2.26台財稅第10804666690號令）
38,1121002,營業稅的減免範圍,立案補習班之教育勞務，應否課徵營業稅？,依法向教育主管機關申請核准登記或立案之短期補習班，其所提供之教育勞務，可依加值型及非加值型營業稅法第8條第1項第5款規定免徵營業稅。惟其購買貨物所支付之進項稅額，亦不得申請退還。（財政部75.9.8台財稅第7549419號函）
39,1121002,營業稅的減免範圍,銷售報紙或雜誌應否課徵營業稅？,營業人銷售本國報紙（新聞紙）、雜誌（定期刊物），及自外國進口之報紙（新聞紙）、雜誌（定期刊物）經政府主管機關認許者，均應予以免徵營業稅。（財政部75.8.20台財稅第7560245號函）
40,1121002,營業稅的減免範圍,營業人銷售稻米混合包裝米，應否課稅？,營業人銷售稻米混合包裝米，如其內容均屬免稅之稻米，尚無與其他非稻米之貨品混合包裝，既未改變其原始性狀，更非米製品加工，准免徵營業稅。（財政部92.10.15台財稅字第0920456803號函）
41,1121002,營業稅的減免範圍,多角貿易按信用狀差額開立發票可否適用零稅率？,甲公司接獲國外客戶訂購貨物後，向國內廠商丙公司訂貨，丙公司復轉向第三國供應商訂貨，並委由第三國供應商直接對首開國外客戶交貨之情形，該甲公司可依財政部75年7月29日台財稅第7555603號函規定，按收付信用狀之差額，視為佣金或手續費收入開立統一發票列帳，並依營業稅法第7條第2款規定適用零稅率。至丙公司部分，應以收取甲公司之貨款與支付第三國供應商貨款之差額，為佣金收入，並至遲應於收到第三國供應商出貨單據（如提貨單等）之日起3日內開立統一發票，其與甲公司及向第三國供應商訂貨之有關文件，應妥慎保存，以供稽徵機關查核。（現行外銷勞務得免開立統一發票）（財政部79.6.30台財稅第790647491號函）
42,1121002,營業稅的減免範圍,營業人銷售與自由貿易港區事業供營運之貨物，如何提供零稅率證明文件？,課稅區或保稅區之營業人（賣方）銷售與自由港區事業供營運之貨物、勞務及自用機器、設備，其營業稅依自由貿易港區設置管理條例第28條第1項第1款及第4款規定適用零稅率者，除報經海關視同出口者免檢附證明文件外，應將開立之統一發票扣抵聯，交由自由港區事業（買方）依實際購買用途於空白處或背面簽署「本證明文件（或發票）所列貨物、勞務或自用機器、設備確係本事業購買符合自由貿易港區設置管理條例第28條第1項第1款及第4款規定供營運之貨物（或勞務、自用機器、設備）無訛」字樣，並加蓋買受人統一發票專用章，作為適用零稅率之證明文件。（財政部97.3.19台財稅字第09704518580號令）         (財政部101.5.24台財稅字第10104557440號令)
43,1121002,營業稅的減免範圍,營業人甲接受乙訂貨轉向國外廠商丙訂貨，並以乙名義進口，甲應如何開立發票？,國內營業人（甲）接受國內買受人（乙）訂貨，轉向國外廠商（丙）訂貨，並直接以乙買受人名義報關進口之交易型態，甲應按其收取轉付差額視為佣金收入或按其所取得之佣金收入，開立應稅二聯式統一發票。        （財政部97.10.29台財稅字第09704550620號令）
44,1121002,營業稅的減免範圍,保稅區營業人接受國外客戶訂購保稅貨物依其指示運交課稅區買受人可適用零稅率嗎？,保稅區營業人接受國外客戶訂購保稅貨物，並依其指示將該保稅貨物運交指定之國內課稅區買受人，且取得外匯收入者，其營業稅可適用零稅率。         (財政部91.6.6台財稅字第0910453451號令)(財政部96.6.29台財稅字第09604530290號令)(財政部101.5.24台財稅字第10104557440號令)
45,1121002,營業稅的減免範圍,免徵營業稅的飼料需合於那些規定？,依加值型及非加值型營業稅法第8條第1項第19款規定免徵營業稅之飼料，係指飼料管理法第3條所稱飼料。有下列情形之一，得認定之： 一、辦妥飼料製造登記證或飼料輸入登記證，且該等登記證尚在有效期限內者。二、符合經濟部公告飼料類國家標準（CNS）者。三、外包裝或容器標示內容足資證明係供飼料使用者。四、其他相關交易文件等資料足資證明係供飼料使用者。五、經行政院農業委員會個案認定者。（財政部98.7.13台財稅字第09804549680號令）       
46,1121002,營業稅的減免範圍,學校向外承租房屋做為學生及教職員工宿舍，並向師生收取相關費用，要課營業稅嗎？       ,學校向外承租房屋做為學生及教職員工宿舍，並向師生收取相關費用，核非屬招商承包，依加值型及非加值型營業稅法第8條第1項第5款規定免徵營業稅。（財政部98.9.24台財稅字第09804560500號令）
47,1121002,營業稅的減免範圍,各直轄市、縣(市)政府所屬學校辦理課後照顧服務，屬營業稅課徵範圍嗎？,依兒童及少年福利與權益保障法設立之兒童課後照顧服務班與兒童課後照顧服務中心，提供同法規定之兒童課後照顧服務，依加值型及非加值型營業稅法第8條第1項第4款規定，免徵營業稅。（財政部107.02.01台財稅字第10600737880號令）
48,1121002,營業稅的減免範圍,營業人甲接受保稅區乙訂貨轉向國外廠商丙訂貨，並以乙名義進口，甲應如何開立發票？,國內營業人（甲）接受國內買受人（乙）訂貨，轉向國外廠商（丙）訂貨，並直接以買受人（乙）名義報關進口之交易型態，如買受人（乙）係保稅區營業人，且該貨物之使用符合加值型及非加值型營業稅法第7條第4款及同法施行細則第7條之1第2項規定者，營業人（甲）得按其收取轉付差額或取得之收入，開立零稅率二聯式統一發票，並持憑經買受人（乙）簽署「進口該貨物確係符合加值型及非加值型營業稅法第7條第4款及同法施行細則第7條之1第2項規定供營運之貨物無訛」字樣及加蓋其統一發票專用章之海關核發進口報單副本，申報適用零稅率。（財政部104.05.13台財稅字第10404516320號令）
49,1121002,營業稅稅額應如何計算,營業人的那些進項稅額不得扣抵銷項稅額？,一、購進之貨物或勞務未依規定取得並保存加值型及非加值型營業稅法第33條規定之憑證者。二、非供本業及附屬業務使用之貨物或勞務。但為協助國防建設、慰勞軍隊及對政府捐獻者，不在此限。三、交際應酬用之貨物或勞務。四、酬勞員工個人之貨物或勞務。 五、自用乘人小汽車。六、營業人專營第8條第1項免稅貨物或勞務者，其進項稅額不得申請退還，兼營第8條第1項免稅貨物或勞務，或因本法其他規定而有部分不得扣抵情形者，其進項稅額不得扣抵銷項稅額之比例與計算辦法，由財政部定之。七、統一發票扣抵聯經載明「違章補開」者，但該統一發票係因買受人檢舉而補開者不在此限。八、營業人進口貨物，被海關查獲短報進口貨物完稅價格，涉有營業稅法第51條第1項各款漏稅處罰情事而追繳稅款，經海關補徵之營業稅額。九、保稅區營業人或海關管理之免稅商店、離島免稅購物商店辦理保稅貨物盤存，實際盤存數量少於帳面結存數量，經海關補徵之營業稅額。九、保稅區營業人或海關管理之免稅商店、離島免稅購物商店辦理保稅貨物盤存，實際盤存數量少於帳面結存數量，經海關補徵之營業稅額。（加值型及非加值型營業稅法第19條及同法施行細則第30條）                            
